Similarity To Query-ID And Document-ID (Sorted):
{[6,15]=0.184921182569823,
[3,60]=0.15623973839508803,
[7,59]=0.11581277609867231,
[5,60]=0.11226183496472975,
[5,24]=0.09912098499648982,
[2,41]=0.09863823215034755,
[4,48]=0.09729501011314416,
[5,5]=0.0899384508115095,
[7,8]=0.08879095406461848,
[5,17]=0.08708915774108485,
[6,26]=0.08608773844749644,
[3,31]=0.08607848670796026,
[2,58]=0.0848908781141918,
[1,42]=0.08395181062487433,
[5,4]=0.08291354272281873,
[3,24]=0.08198200100941687,
[1,60]=0.07578888822826098,
[1,24]=0.07397734398433496,
[1,34]=0.07329428946414929,
[6,60]=0.07262000779735178,
[6,24]=0.07088420773226915,
[2,16]=0.07081195579073896,
[1,38]=0.06934174174971382,
[4,6]=0.06738701843303203,
[2,47]=0.0673211385680345,
[7,34]=0.06505363978805707,
[4,41]=0.06423095768584208,
[4,26]=0.06335372006738424,
[3,17]=0.06321208568097543,
[6,5]=0.062544025946462,
[1,17]=0.06186402385443271,
[2,11]=0.06118790900793948,
[4,49]=0.06092558666451393,
[4,55]=0.06013674403963445,
[3,19]=0.05666338324007474,
[7,17]=0.05514911796162108,
[2,24]=0.05430650410710376,
[3,42]=0.05407490410107038,
[3,23]=0.05396242185022585,
[4,10]=0.053092471242734085,
[4,3]=0.05293554059974023,
[5,9]=0.052499379617530116,
[2,59]=0.05247390351087646,
[2,10]=0.05166984341189274,
[1,53]=0.05110914693573692,
[5,30]=0.05082354822598051,
[4,36]=0.05079058428089532,
[5,13]=0.04968732059986144,
[5,31]=0.049427777881727884,
[7,39]=0.04937336181335568,
[7,26]=0.04931825111219258,
[3,21]=0.04914037526374383,
[3,9]=0.04890667462598559,
[1,35]=0.047194197739845706,
[1,16]=0.04709169558562909,
[1,29]=0.046550809017674256,
[6,49]=0.045962835446203144,
[5,29]=0.045815889189904736,
[5,22]=0.045316339183514055,
[2,23]=0.044484179502751936,
[5,51]=0.0444038538201884,
[7,41]=0.044168449659314296,
[5,59]=0.04381643504856443,
[1,28]=0.043734556049643256,
[3,57]=0.042637414492741055,
[4,43]=0.04223040497286223,
[7,36]=0.042097238035850325,
[7,27]=0.0415921189261446,
[5,26]=0.04128487034773077,
[4,1]=0.04128366294323635,
[1,8]=0.041114684984360605,
[3,13]=0.0410958987919391,
[7,58]=0.039271049927302557,
[5,25]=0.03896512552956453,
[4,35]=0.038817205593597234,
[2,44]=0.03857206467053788,
[4,56]=0.038430808928096874,
[7,28]=0.03836562253535912,
[7,49]=0.038355974567259296,
[4,58]=0.03811748998591144,
[7,10]=0.03738400049818491,
[1,13]=0.03708332809451048,
[4,16]=0.03621629552318115,
[1,52]=0.03562735178389658,
[6,13]=0.03553280221322621,
[2,50]=0.035480137483267844,
[3,29]=0.035369666159634855,
[3,2]=0.0351043034506375,
[7,30]=0.033619550354168075,
[7,50]=0.03324534593601078,
[7,51]=0.03304104049105784,
[5,58]=0.0328742436746125,
[3,47]=0.03281330079211884,
[5,44]=0.032502061758944274,
[1,49]=0.032474308358016166,
[5,27]=0.03160407070449093,
[5,6]=0.03155401652681858,
[5,49]=0.031494264233443175,
[7,1]=0.031365585619941204,
[5,7]=0.03066150517855748,
[5,28]=0.03055723236450308,
[1,5]=0.03049396003133764,
[4,15]=0.03039920369325087,
[3,49]=0.03038186562699423,
[4,27]=0.028656817485329705,
[2,51]=0.0286044120994833,
[4,45]=0.028484754097006577,
[7,13]=0.028417856662808147,
[2,7]=0.02835761737554109,
[3,48]=0.02806862516000275,
[1,58]=0.027043329103987254,
[1,10]=0.02637029860533483,
[4,4]=0.02621302173709837,
[2,6]=0.026168103117457625,
[4,14]=0.025936484227113348,
[2,17]=0.02588459323438249,
[4,57]=0.0250537754550439,
[4,28]=0.025041538266494655,
[1,43]=0.025017967639469233,
[4,34]=0.02497757729259413,
[4,21]=0.02474271803978776,
[4,17]=0.024723498341096977,
[5,18]=0.02470015360490266,
[2,42]=0.02446733640535321,
[4,51]=0.024414875525358485,
[7,56]=0.02424043083647244,
[7,44]=0.024184881406214477,
[4,42]=0.02365420268942223,
[1,12]=0.02363624681670877,
[3,46]=0.02346902648755643,
[7,16]=0.023281134786242788,
[2,34]=0.023200427554121876,
[5,42]=0.02303155434572264,
[2,52]=0.02302777262927064,
[5,12]=0.022871342496566083,
[7,11]=0.022665331172781654,
[7,3]=0.022572020074971662,
[7,52]=0.022310206152806537,
[2,9]=0.02212886144568225,
[6,17]=0.021906893366335254,
[4,5]=0.021835458199556363,
[4,19]=0.021801137454168944,
[1,25]=0.0215216869895866,
[1,7]=0.020155694093356956,
[7,6]=0.019773111311977825,
[4,12]=0.019741542446460553,
[7,5]=0.01940012150371372,
[2,49]=0.01899757490119639,
[3,58]=0.018836648980825668,
[4,9]=0.018816757400983278,
[4,11]=0.01868273788313241,
[3,10]=0.018367859091542527,
[5,32]=0.018047870845038994,
[6,33]=0.017971427730154366,
[7,45]=0.01796690548133633,
[5,2]=0.017917893068963433,
[4,44]=0.017870831558348992,
[3,52]=0.01786099385637464,
[4,2]=0.01761989311024876,
[3,5]=0.017518397537675447,
[6,50]=0.017438024917433053,
[5,53]=0.016964815654025973,
[2,21]=0.016892104341705974,
[2,26]=0.016555240662346125,
[7,19]=0.016075500854083234,
[7,25]=0.015970592062200625,
[2,43]=0.01586644117484168,
[4,52]=0.015484199909746933,
